,country,year,contamination_ml,population_ml,PBI_ml,forest_ml,wage_ml,life_expect_ml
285,Germany,2008,3430.937,665282292.9920001,3730166.0045,446490.059,37311.27210904727,80.2
286,Germany,2009,2980.514,664348995.1279999,3517652.7912,432544.407,37414.964981662466,80.3
287,Germany,2010,3346.6929999999998,664380932.7350001,3573388.5293,443490.127,37792.821349906466,80.5
288,Germany,2011,3259.0009999999997,653266080.484,3744408.6027,434421.58999999997,38663.90600456949,80.5
289,Germany,2012,2887.2270000000003,655631233.866,3760118.3094,434527.98,39273.3895853688,80.6
290,Germany,2013,2858.665,658391499.4520001,3745163.5866,428609.42,39869.6852803055,80.6
291,Germany,2014,2757.421,661886401.352,3883920.1553,422992.03700000007,40611.64055913296,81.2
292,Germany,2015,2864.302,667983371.623,3951490.6493,424481.44399999996,41573.5619946428,80.7
293,Germany,2016,2801.678,673543968.1700002,4077581.7214,421539.745,42242.07687616896,81.1
294,Germany,2017,2828.1859999999997,676269118.7939999,4302735.6821,211961.3725,42839.415981138234,81.1
295,Greece,1990,1097.953,81513241.30099998,246077.3692,2383.0,38368.72581680614,77.1
296,Greece,1991,1092.873,82576100.95300002,254750.2708,2300.0,33898.03565247405,77.3
297,Greece,1992,1042.595,83248550.54,253349.4956,10476.545,29427.345488141957,77.2
